Measure,Date,Value
Andaman Sea,12-17-1992,-10.34
Arabian Sea,12-17-1992,-18.46
Atlantic Ocean,12-17-1992,-15.41
Baltic Sea,12-17-1992,196.85
Bay Bengal,12-17-1992,3.27
Caribbean Sea,12-17-1992,-13.58
Gulf Mexico,12-17-1992,-3.95
Indian Ocean,12-17-1992,-27.63
Indonesian,12-17-1992,-3.09
Mediterranean,12-17-1992,39.02
Nino,12-17-1992,-3.13
North Pacific,12-17-1992,19.59
North Sea,12-17-1992,44.01
Pacific Ocean,12-17-1992,-14.88
Persian Gulf,12-17-1992,134.53
Sea Japan,12-17-1992,-46.65
Sea Okhotsk,12-17-1992,-4.39
South China,12-17-1992,-4.6
Southern Ocean,12-17-1992,-24.43
Tropics,12-17-1992,-19.64
World,12-17-1992,-15.95
Yellow Sea,12-17-1992,-70.61
Adriatic Sea,12-18-1992,9.19
Bering Sea,12-18-1992,-5.35
North Atlantic,12-18-1992,-0.23
Andaman Sea,12-26-1992,-2.64
Baltic Sea,12-26-1992,228.05
Bay Bengal,12-26-1992,11.67
Mediterranean,12-26-1992,-12.98
North Sea,12-26-1992,63.31
Persian Gulf,12-26-1992,112.23
Sea Japan,12-26-1992,-23.05
Sea Okhotsk,12-26-1992,-38.09
South China,12-26-1992,-15.9
Arabian Sea,12-27-1992,8.14
Atlantic Ocean,12-27-1992,-10.31
Bering Sea,12-27-1992,-30.85
Caribbean Sea,12-27-1992,-2.48
Gulf Mexico,12-27-1992,-13.75
Indian Ocean,12-27-1992,-10.03
Indonesian,12-27-1992,3.81
Nino,12-27-1992,-8.93
North Atlantic,12-27-1992,-0.53
North Pacific,12-27-1992,-8.31
Pacific Ocean,12-27-1992,-27.18
Southern Ocean,12-27-1992,-16.73
Tropics,12-27-1992,-22.34
World,12-27-1992,-17.65
Yellow Sea,12-27-1992,-44.41
Adriatic Sea,12-28-1992,-51.91
Baltic Sea,01-04-1993,-2.95
South China,01-04-1993,-17.5
Andaman Sea,01-05-1993,-79.04
Arabian Sea,01-05-1993,32.14
Atlantic Ocean,01-05-1993,-12.31
Bay Bengal,01-05-1993,28.57
Bering Sea,01-05-1993,-15.85
Caribbean Sea,01-05-1993,-15.08
Gulf Mexico,01-05-1993,-25.75
Indian Ocean,01-05-1993,5.87
Indonesian,01-05-1993,-7.09
Mediterranean,01-05-1993,-83.58
Nino,01-05-1993,-4.33
North Atlantic,01-05-1993,-16.33
North Pacific,01-05-1993,-16.71
North Sea,01-05-1993,76.81
Pacific Ocean,01-05-1993,-24.28
Sea Japan,01-05-1993,-4.25
Sea Okhotsk,01-05-1993,-41.09
Southern Ocean,01-05-1993,-5.13
Tropics,01-05-1993,-19.54
World,01-05-1993,-14.55
Adriatic Sea,01-06-1993,-79.01
Persian Gulf,01-06-1993,82.33
Yellow Sea,01-06-1993,-37.51
South China,01-14-1993,8
Arabian Sea,01-15-1993,30.34
Baltic Sea,01-15-1993,-2.65
Bay Bengal,01-15-1993,-6.43
Bering Sea,01-15-1993,-40.95
Gulf Mexico,01-15-1993,-18.25
Indian Ocean,01-15-1993,1.87
Indonesian,01-15-1993,-19.09
Mediterranean,01-15-1993,-49.68
Nino,01-15-1993,-7.03
North Pacific,01-15-1993,-43.51
North Sea,01-15-1993,229.71
Pacific Ocean,01-15-1993,-33.18
Persian Gulf,01-15-1993,-52.87
Sea Japan,01-15-1993,1.55
Sea Okhotsk,01-15-1993,-31.49
Southern Ocean,01-15-1993,-10.33
Tropics,01-15-1993,-22.74
World,01-15-1993,-19.55
Yellow Sea,01-15-1993,-58.61
Adriatic Sea,01-16-1993,-52.71
Andaman Sea,01-16-1993,-114.94
Atlantic Ocean,01-16-1993,-9.91
Caribbean Sea,01-16-1993,-7.68
North Atlantic,01-16-1993,-8.43
Arabian Sea,01-24-1993,8.64
Baltic Sea,01-24-1993,379.85
Bay Bengal,01-24-1993,-30.23
Bering Sea,01-24-1993,-57.35
South China,01-24-1993,12.3
Andaman Sea,01-25-1993,-105.74
Atlantic Ocean,01-25-1993,-19.11
Caribbean Sea,01-25-1993,-13.98
Gulf Mexico,01-25-1993,-28.65
Indian Ocean,01-25-1993,-8.43
Indonesian,01-25-1993,-8.39
Mediterranean,01-25-1993,-90.98
Nino,01-25-1993,-11.83
North Atlantic,01-25-1993,-35.63
North Pacific,01-25-1993,-61.21
North Sea,01-25-1993,145.11
Pacific Ocean,01-25-1993,-33.88
Persian Gulf,01-25-1993,-74.97
Sea Japan,01-25-1993,-96.45
Sea Okhotsk,01-25-1993,-35.39
Southern Ocean,01-25-1993,-13.03
Tropics,01-25-1993,-24.84
World,01-25-1993,-24.95
Adriatic Sea,01-26-1993,-118.91
Yellow Sea,01-26-1993,-96.11
Baltic Sea,02-04-1993,495.15
North Sea,02-04-1993,81.41
Adriatic Sea,02-05-1993,-85.81
Andaman Sea,02-05-1993,-158.54
Arabian Sea,02-05-1993,-4.06
Atlantic Ocean,02-05-1993,-23.01
Bay Bengal,02-05-1993,-41.63
Bering Sea,02-05-1993,-7.45
Gulf Mexico,02-05-1993,-18.65
Indian Ocean,02-05-1993,-19.73
Indonesian,02-05-1993,24.81
Mediterranean,02-05-1993,-66.28
Nino,02-05-1993,-18.03
North Atlantic,02-05-1993,-35.73
North Pacific,02-05-1993,-82.41
Pacific Ocean,02-05-1993,-35.68
Persian Gulf,02-05-1993,-31.37
Sea Japan,02-05-1993,-137.05
Sea Okhotsk,02-05-1993,-37.39
South China,02-05-1993,-17.7
Southern Ocean,02-05-1993,-14.03
Tropics,02-05-1993,-29.44
World,02-05-1993,-29.05
Yellow Sea,02-05-1993,-146.51
Caribbean Sea,02-06-1993,-35.38
Arabian Sea,02-13-1993,8.44
Baltic Sea,02-13-1993,317.05
Bay Bengal,02-13-1993,-55.83
Caribbean Sea,02-13-1993,-35.18
Indian Ocean,02-13-1993,-14.23
Mediterranean,02-13-1993,-157.88
North Sea,02-13-1993,48.81
Pacific Ocean,02-13-1993,-29.78
Sea Okhotsk,02-13-1993,-15.59
South China,02-13-1993,-72.9
Andaman Sea,02-14-1993,-190.64
Atlantic Ocean,02-14-1993,-25.61
Bering Sea,02-14-1993,-3.85
Gulf Mexico,02-14-1993,-46.55
Indonesian,02-14-1993,9.11
Nino,02-14-1993,-20.83
North Atlantic,02-14-1993,-37.73
North Pacific,02-14-1993,-63.81
Persian Gulf,02-14-1993,-100.57
Sea Japan,02-14-1993,-122.05
Southern Ocean,02-14-1993,-8.63
Tropics,02-14-1993,-30.44
World,02-14-1993,-27.35
Yellow Sea,02-14-1993,-105.01
Adriatic Sea,02-15-1993,-188.61
North Sea,02-23-1993,6.31
South China,02-23-1993,-70.6
Arabian Sea,02-24-1993,24.14
Atlantic Ocean,02-24-1993,-24.61
Baltic Sea,02-24-1993,184.75
Bay Bengal,02-24-1993,-56.63
Bering Sea,02-24-1993,-17.05
Gulf Mexico,02-24-1993,-27.65
Indian Ocean,02-24-1993,-3.53
Indonesian,02-24-1993,5.01
Mediterranean,02-24-1993,-134.68
Nino,02-24-1993,-16.83
North Atlantic,02-24-1993,-51.83
North Pacific,02-24-1993,-57.61
Pacific Ocean,02-24-1993,-23.28
Persian Gulf,02-24-1993,-70.07
Sea Japan,02-24-1993,-73.75
Sea Okhotsk,02-24-1993,6.71
Southern Ocean,02-24-1993,0.97
Tropics,02-24-1993,-23.04
World,02-24-1993,-21.55
Yellow Sea,02-24-1993,-133.31
Adriatic Sea,02-25-1993,-127.81
Andaman Sea,02-25-1993,-158.54
Caribbean Sea,02-25-1993,-40.38
Baltic Sea,03-05-1993,3.25
North Sea,03-05-1993,-116.99
Sea Okhotsk,03-05-1993,-14.29
Andaman Sea,03-06-1993,-171.44
Arabian Sea,03-06-1993,26.34
Atlantic Ocean,03-06-1993,-23.71
Bay Bengal,03-06-1993,-42.13
Bering Sea,03-06-1993,-13.05
Caribbean Sea,03-06-1993,-55.98
Gulf Mexico,03-06-1993,-60.45
Indian Ocean,03-06-1993,-7.53
Indonesian,03-06-1993,-29.69
Mediterranean,03-06-1993,-57.58
Nino,03-06-1993,-8.13
North Atlantic,03-06-1993,-59.73
North Pacific,03-06-1993,-43.21
Pacific Ocean,03-06-1993,-16.48
Persian Gulf,03-06-1993,14.03
Sea Japan,03-06-1993,-84.35
South China,03-06-1993,-29.9
Southern Ocean,03-06-1993,-0.13
Tropics,03-06-1993,-18.64
World,03-06-1993,-18.65
Adriatic Sea,03-07-1993,-58.21
Yellow Sea,03-07-1993,-106.91
Baltic Sea,03-15-1993,-122.15
North Sea,03-15-1993,36.31
Andaman Sea,03-16-1993,-104.04
Arabian Sea,03-16-1993,41.84
Atlantic Ocean,03-16-1993,-21.61
Bay Bengal,03-16-1993,-49.13
Bering Sea,03-16-1993,-10.45
Caribbean Sea,03-16-1993,-47.98
Gulf Mexico,03-16-1993,-91.45
Indian Ocean,03-16-1993,-4.83
Indonesian,03-16-1993,-30.29
Mediterranean,03-16-1993,-74.28
Nino,03-16-1993,-7.23
North Atlantic,03-16-1993,-55.13
North Pacific,03-16-1993,-53.81
Pacific Ocean,03-16-1993,-19.68
Persian Gulf,03-16-1993,-37.97
Sea Japan,03-16-1993,-57.05
Sea Okhotsk,03-16-1993,24.31
South China,03-16-1993,-66.9
Southern Ocean,03-16-1993,2.17
Tropics,03-16-1993,-19.54
World,03-16-1993,-19.15
Yellow Sea,03-16-1993,-48.81
Adriatic Sea,03-18-1993,-121.01
Baltic Sea,03-25-1993,142.65
Bay Bengal,03-25-1993,-54.73
North Sea,03-25-1993,28.51
South China,03-25-1993,-56.5
Andaman Sea,03-26-1993,-114.84
Arabian Sea,03-26-1993,26.84
Atlantic Ocean,03-26-1993,-34.21
Bering Sea,03-26-1993,-29.35
Caribbean Sea,03-26-1993,-66.18
Gulf Mexico,03-26-1993,-77.25
Indian Ocean,03-26-1993,-15.83
Indonesian,03-26-1993,-34.59
Mediterranean,03-26-1993,-133.98
Nino,03-26-1993,-9.93
North Atlantic,03-26-1993,-73.03
North Pacific,03-26-1993,-44.81
Pacific Ocean,03-26-1993,-15.08
Persian Gulf,03-26-1993,-80.27
Sea Japan,03-26-1993,-38.05
Sea Okhotsk,03-26-1993,-12.99
Southern Ocean,03-26-1993,-3.33
Tropics,03-26-1993,-22.64
World,03-26-1993,-22.65
Adriatic Sea,03-27-1993,-168.81
Yellow Sea,03-27-1993,-78.71
Andaman Sea,04-14-1993,-74.24
Arabian Sea,04-14-1993,44.64
Baltic Sea,04-14-1993,-249.25
Bay Bengal,04-14-1993,-40.63
Mediterranean,04-14-1993,-94.28
North Sea,04-14-1993,-150.09
Persian Gulf,04-14-1993,-98.57
Sea Japan,04-14-1993,-21.55
Sea Okhotsk,04-14-1993,-39.29
South China,04-14-1993,-31.8
Atlantic Ocean,04-15-1993,-27.31
Bering Sea,04-15-1993,-31.55
Caribbean Sea,04-15-1993,-41.28
Gulf Mexico,04-15-1993,-41.25
Indian Ocean,04-15-1993,-30.53
Indonesian,04-15-1993,-58.79
Nino,04-15-1993,-12.43
North Atlantic,04-15-1993,-61.63
North Pacific,04-15-1993,-47.31
Pacific Ocean,04-15-1993,-20.88
Southern Ocean,04-15-1993,-11.93
Tropics,04-15-1993,-23.84
World,04-15-1993,-25.95
Yellow Sea,04-15-1993,-72.61
Adriatic Sea,04-16-1993,-104.51
Baltic Sea,04-23-1993,-213.05
Andaman Sea,04-24-1993,-23.24
Bay Bengal,04-24-1993,-7.23
Indian Ocean,04-24-1993,-17.53
Mediterranean,04-24-1993,-79.08
Nino,04-24-1993,-7.13
North Sea,04-24-1993,-99.69
Pacific Ocean,04-24-1993,-12.88
Persian Gulf,04-24-1993,-57.57
Sea Japan,04-24-1993,-19.25
South China,04-24-1993,-98.3
Southern Ocean,04-24-1993,-7.43
Tropics,04-24-1993,-15.64
World,04-24-1993,-19.75
Adriatic Sea,04-25-1993,-91.11
Arabian Sea,04-25-1993,64.54
Atlantic Ocean,04-25-1993,-28.61
Bering Sea,04-25-1993,-20.45
Caribbean Sea,04-25-1993,-39.18
Gulf Mexico,04-25-1993,-63.45
Indonesian,04-25-1993,-69.29
North Atlantic,04-25-1993,-69.73
North Pacific,04-25-1993,-37.51
Sea Okhotsk,04-25-1993,-23.69
Yellow Sea,04-25-1993,-52.91
Andaman Sea,05-04-1993,-10.74
Arabian Sea,05-04-1993,75.24
Atlantic Ocean,05-04-1993,-29.31
Baltic Sea,05-04-1993,-141.45
Bay Bengal,05-04-1993,24.77
Gulf Mexico,05-04-1993,-57.65
Indian Ocean,05-04-1993,1.27
Indonesian,05-04-1993,-91.19
Mediterranean,05-04-1993,-55.08
Nino,05-04-1993,-13.53
North Pacific,05-04-1993,-39.61
North Sea,05-04-1993,-102.59
Pacific Ocean,05-04-1993,-19.68
Persian Gulf,05-04-1993,-48.87
Sea Japan,05-04-1993,-56.95
Sea Okhotsk,05-04-1993,-32.79
South China,05-04-1993,-80.3
Southern Ocean,05-04-1993,-4.93
Tropics,05-04-1993,-16.24
World,05-04-1993,-19.55
Adriatic Sea,05-05-1993,-66.61
Bering Sea,05-05-1993,-29.65
Caribbean Sea,05-05-1993,-44.78
North Atlantic,05-05-1993,-68.73
Yellow Sea,05-05-1993,-36.51
Baltic Sea,05-13-1993,-210.25
Andaman Sea,05-14-1993,28.36
Arabian Sea,05-14-1993,74.74
Atlantic Ocean,05-14-1993,-20.21
Bay Bengal,05-14-1993,21.97
Bering Sea,05-14-1993,-3.35
Gulf Mexico,05-14-1993,-38.25
Indian Ocean,05-14-1993,-0.03
Indonesian,05-14-1993,-101.39
Mediterranean,05-14-1993,-50.18
Nino,05-14-1993,-11.43
North Pacific,05-14-1993,-38.01
North Sea,05-14-1993,-144.89
Pacific Ocean,05-14-1993,-18.08
Persian Gulf,05-14-1993,-83.57
Sea Japan,05-14-1993,-41.35
Sea Okhotsk,05-14-1993,-25.59
South China,05-14-1993,-83.5
Southern Ocean,05-14-1993,-6.83
Tropics,05-14-1993,-12.94
World,05-14-1993,-16.85
Adriatic Sea,05-15-1993,-62.41
Caribbean Sea,05-15-1993,-45.18
North Atlantic,05-15-1993,-55.73
Yellow Sea,05-15-1993,-34.31
Baltic Sea,05-23-1993,-261.25
Andaman Sea,05-24-1993,-5.64
Arabian Sea,05-24-1993,68.74
Atlantic Ocean,05-24-1993,-28.21
Bay Bengal,05-24-1993,34.37
Bering Sea,05-24-1993,-12.95
Caribbean Sea,05-24-1993,-36.98
Gulf Mexico,05-24-1993,-26.45
Indian Ocean,05-24-1993,-4.63
Indonesian,05-24-1993,-108.29
Mediterranean,05-24-1993,-36.28
Nino,05-24-1993,-17.43
North Atlantic,05-24-1993,-52.13
North Pacific,05-24-1993,-50.81
North Sea,05-24-1993,-78.69
Pacific Ocean,05-24-1993,-22.18
Persian Gulf,05-24-1993,-116.77
Sea Japan,05-24-1993,-49.65
Sea Okhotsk,05-24-1993,-14.59
South China,05-24-1993,-85.5
Southern Ocean,05-24-1993,-15.93
Tropics,05-24-1993,-16.54
World,05-24-1993,-21.75
Yellow Sea,05-25-1993,-60.81
Adriatic Sea,05-27-1993,-60.61
Baltic Sea,06-02-1993,-195.95
Andaman Sea,06-03-1993,44.16
Arabian Sea,06-03-1993,58.54
Atlantic Ocean,06-03-1993,-41.01
Bay Bengal,06-03-1993,25.47
Gulf Mexico,06-03-1993,-35.75
Indian Ocean,06-03-1993,-11.63
Indonesian,06-03-1993,-111.29
Mediterranean,06-03-1993,-40.48
Nino,06-03-1993,-29.83
North Atlantic,06-03-1993,-58.33
North Pacific,06-03-1993,-50.01
North Sea,06-03-1993,-61.29
Pacific Ocean,06-03-1993,-22.08
Persian Gulf,06-03-1993,-72.37
Sea Japan,06-03-1993,-38.05
Sea Okhotsk,06-03-1993,-14.89
South China,06-03-1993,-106.7
Southern Ocean,06-03-1993,-20.23
Tropics,06-03-1993,-23.44
World,06-03-1993,-26.45
Adriatic Sea,06-04-1993,-48.41
Bering Sea,06-04-1993,-10.85
Caribbean Sea,06-04-1993,-37.38
Yellow Sea,06-04-1993,-60.11
Baltic Sea,06-12-1993,-106.55
Bay Bengal,06-12-1993,16.87
Andaman Sea,06-13-1993,82.86
Arabian Sea,06-13-1993,37.94
Atlantic Ocean,06-13-1993,-31.61
Bering Sea,06-13-1993,-2.15
Caribbean Sea,06-13-1993,-7.68
Gulf Mexico,06-13-1993,0.15
Indian Ocean,06-13-1993,-15.33
Indonesian,06-13-1993,-107.99
Mediterranean,06-13-1993,-41.78
Nino,06-13-1993,-29.13
North Atlantic,06-13-1993,-40.63
North Pacific,06-13-1993,-36.11
North Sea,06-13-1993,-59.59
Pacific Ocean,06-13-1993,-19.98
Persian Gulf,06-13-1993,-81.07
Sea Japan,06-13-1993,-99.75
Sea Okhotsk,06-13-1993,-37.19
South China,06-13-1993,-95.4
Southern Ocean,06-13-1993,-26.23
Tropics,06-13-1993,-18.54
World,06-13-1993,-23.45
Adriatic Sea,06-14-1993,-60.21
Yellow Sea,06-14-1993,-58.11
Baltic Sea,06-22-1993,-4.55
North Sea,06-22-1993,-39.59
Sea Okhotsk,06-22-1993,-18.19
Andaman Sea,06-23-1993,63.66
Arabian Sea,06-23-1993,28.04
Atlantic Ocean,06-23-1993,-38.61
Bay Bengal,06-23-1993,17.87
Bering Sea,06-23-1993,20.65
Caribbean Sea,06-23-1993,-34.58
Gulf Mexico,06-23-1993,8.95
Indian Ocean,06-23-1993,-17.23
Indonesian,06-23-1993,-113.89
Mediterranean,06-23-1993,-45.08
Nino,06-23-1993,-26.53
North Atlantic,06-23-1993,-45.73
North Pacific,06-23-1993,-20.51
Pacific Ocean,06-23-1993,-5.98
Persian Gulf,06-23-1993,-100.37
Sea Japan,06-23-1993,-90.15
South China,06-23-1993,-96.8
Southern Ocean,06-23-1993,-17.83
Tropics,06-23-1993,-16.54
World,06-23-1993,-18.65
Adriatic Sea,06-24-1993,-69.51
Yellow Sea,06-24-1993,-42.71
Baltic Sea,06-30-1993,82.55
Persian Gulf,06-30-1993,16.93
Adriatic Sea,07-01-1993,-89.61
Andaman Sea,07-02-1993,70.06
Bay Bengal,07-02-1993,14.07
Gulf Mexico,07-02-1993,-0.35
Indonesian,07-02-1993,-119.79
Mediterranean,07-02-1993,-36.48
North Sea,07-02-1993,-13.49
Sea Japan,07-02-1993,-59.55
Sea Okhotsk,07-02-1993,-17.89
South China,07-02-1993,-75
Arabian Sea,07-03-1993,24.84
Atlantic Ocean,07-03-1993,-30.61
Bering Sea,07-03-1993,13.55
Caribbean Sea,07-03-1993,-24.98
Indian Ocean,07-03-1993,-5.83
Nino,07-03-1993,-21.63
North Atlantic,07-03-1993,-29.93
North Pacific,07-03-1993,-15.51
Pacific Ocean,07-03-1993,-8.88
Southern Ocean,07-03-1993,-15.53
Tropics,07-03-1993,-14.14
World,07-03-1993,-15.35
Yellow Sea,07-03-1993,-10.01
Andaman Sea,07-12-1993,64.16
Baltic Sea,07-12-1993,121.45
Bay Bengal,07-12-1993,22.07
Mediterranean,07-12-1993,-42.28
North Sea,07-12-1993,-74.59
Sea Okhotsk,07-12-1993,-13.89
Arabian Sea,07-13-1993,4.44
Atlantic Ocean,07-13-1993,-29.21
Bering Sea,07-13-1993,10.25
Caribbean Sea,07-13-1993,-7.88
Gulf Mexico,07-13-1993,14.65
Indian Ocean,07-13-1993,-8.63
Indonesian,07-13-1993,-122.49
Nino,07-13-1993,-16.13
North Atlantic,07-13-1993,-17.43
North Pacific,07-13-1993,-2.01
Pacific Ocean,07-13-1993,-9.88
Persian Gulf,07-13-1993,-33.07
Sea Japan,07-13-1993,-18.85
South China,07-13-1993,-66.4
Southern Ocean,07-13-1993,-33.43
Tropics,07-13-1993,-8.44
World,07-13-1993,-15.95
Yellow Sea,07-13-1993,5.29
Adriatic Sea,07-14-1993,-91.81
Baltic Sea,08-01-1993,104.45
Bay Bengal,08-01-1993,-35.13
Bering Sea,08-01-1993,45.15
Indonesian,08-01-1993,-139.39
Mediterranean,08-01-1993,-15.08
North Sea,08-01-1993,-44.59
Persian Gulf,08-01-1993,-83.47
Sea Okhotsk,08-01-1993,-4.39
South China,08-01-1993,-79.3
Adriatic Sea,08-02-1993,-39.51
Andaman Sea,08-02-1993,68.86
Arabian Sea,08-02-1993,-62.56
Atlantic Ocean,08-02-1993,-23.51
Caribbean Sea,08-02-1993,2.22
Gulf Mexico,08-02-1993,28.25
Indian Ocean,08-02-1993,-41.13
Nino,08-02-1993,-36.73
North Atlantic,08-02-1993,-1.83
North Pacific,08-02-1993,16.59
Pacific Ocean,08-02-1993,-13.08
Sea Japan,08-02-1993,-61.65
Southern Ocean,08-02-1993,-45.53
Tropics,08-02-1993,-19.64
World,08-02-1993,-22.75
Yellow Sea,08-02-1993,58.09
Baltic Sea,08-11-1993,78.15
Mediterranean,08-11-1993,-20.18
North Sea,08-11-1993,-23.79
Sea Okhotsk,08-11-1993,-1.59
South China,08-11-1993,-64.2
Adriatic Sea,08-12-1993,-44.91
Andaman Sea,08-12-1993,77.96
Arabian Sea,08-12-1993,-63.26
Atlantic Ocean,08-12-1993,-25.51
Bay Bengal,08-12-1993,-31.93
Bering Sea,08-12-1993,14.45
Caribbean Sea,08-12-1993,11.82
Gulf Mexico,08-12-1993,11.55
Indian Ocean,08-12-1993,-40.93
Indonesian,08-12-1993,-139.09
Nino,08-12-1993,-29.83
North Atlantic,08-12-1993,3.27
North Pacific,08-12-1993,27.39
Pacific Ocean,08-12-1993,-3.88
Persian Gulf,08-12-1993,-111.57
Sea Japan,08-12-1993,-46.15
Southern Ocean,08-12-1993,-39.53
Tropics,08-12-1993,-17.04
World,08-12-1993,-18.55
Yellow Sea,08-12-1993,60.69
Baltic Sea,08-20-1993,105.25
Andaman Sea,08-21-1993,94.46
Bay Bengal,08-21-1993,17.57
Bering Sea,08-21-1993,15.55
Gulf Mexico,08-21-1993,30.05
Indian Ocean,08-21-1993,-27.63
Indonesian,08-21-1993,-148.79
Mediterranean,08-21-1993,10.02
Nino,08-21-1993,-18.83
North Pacific,08-21-1993,48.09
North Sea,08-21-1993,2.81
Pacific Ocean,08-21-1993,-4.28
Persian Gulf,08-21-1993,-61.57
Sea Japan,08-21-1993,-23.55
Sea Okhotsk,08-21-1993,-8.99
South China,08-21-1993,-63.3
Southern Ocean,08-21-1993,-38.63
Tropics,08-21-1993,-13.34
World,08-21-1993,-13.15
Adriatic Sea,08-22-1993,-12.11
Arabian Sea,08-22-1993,-52.26
Atlantic Ocean,08-22-1993,-13.21
Caribbean Sea,08-22-1993,12.52
North Atlantic,08-22-1993,23.87
Yellow Sea,08-22-1993,10.79
Baltic Sea,08-30-1993,116.95
Andaman Sea,08-31-1993,49.36
Arabian Sea,08-31-1993,-31.86
Atlantic Ocean,08-31-1993,-12.41
Bay Bengal,08-31-1993,26.27
Bering Sea,08-31-1993,38.25
Gulf Mexico,08-31-1993,27.85
Indian Ocean,08-31-1993,-10.63
Indonesian,08-31-1993,-137.29
Mediterranean,08-31-1993,49.42
Nino,08-31-1993,-5.13
North Pacific,08-31-1993,42.79
North Sea,08-31-1993,27.81
Pacific Ocean,08-31-1993,-2.78
Persian Gulf,08-31-1993,35.73
Sea Japan,08-31-1993,-30.45
Sea Okhotsk,08-31-1993,11.51
South China,08-31-1993,-38.1
Southern Ocean,08-31-1993,-34.63
Tropics,08-31-1993,-6.54
World,08-31-1993,-8.05
Adriatic Sea,09-01-1993,-11.91
Caribbean Sea,09-01-1993,11.52
North Atlantic,09-01-1993,23.07
Yellow Sea,09-01-1993,14.49
Baltic Sea,09-09-1993,-14.85
Andaman Sea,09-10-1993,61.26
Arabian Sea,09-10-1993,-43.36
Atlantic Ocean,09-10-1993,-6.71
Bay Bengal,09-10-1993,3.87
Bering Sea,09-10-1993,18.65
Gulf Mexico,09-10-1993,30.35
Indian Ocean,09-10-1993,-11.23
Indonesian,09-10-1993,-129.39
Mediterranean,09-10-1993,45.42
Nino,09-10-1993,-1.43
North Atlantic,09-10-1993,27.07
North Pacific,09-10-1993,26.99
North Sea,09-10-1993,-41.99
Pacific Ocean,09-10-1993,-5.78
Persian Gulf,09-10-1993,7.83
Sea Japan,09-10-1993,-15.25
Sea Okhotsk,09-10-1993,-13.99
South China,09-10-1993,-43.6
Southern Ocean,09-10-1993,-27.73
Tropics,09-10-1993,-8.54
World,09-10-1993,-8.75
Adriatic Sea,09-11-1993,-32.11
Caribbean Sea,09-11-1993,17.22
Yellow Sea,09-11-1993,67.89
Andaman Sea,09-19-1993,-5.34
Baltic Sea,09-19-1993,-130.45
Bay Bengal,09-19-1993,-3.53
North Sea,09-19-1993,-21.79
Arabian Sea,09-20-1993,-56.96
Atlantic Ocean,09-20-1993,-0.41
Bering Sea,09-20-1993,10.55
Caribbean Sea,09-20-1993,28.42
Gulf Mexico,09-20-1993,68.65
Indian Ocean,09-20-1993,-27.83
Indonesian,09-20-1993,-142.59
Mediterranean,09-20-1993,78.62
Nino,09-20-1993,-9.13
North Atlantic,09-20-1993,35.07
North Pacific,09-20-1993,23.99
Pacific Ocean,09-20-1993,-13.18
Persian Gulf,09-20-1993,25.73
Sea Japan,09-20-1993,-4.65
Sea Okhotsk,09-20-1993,-14.19
South China,09-20-1993,-52
Southern Ocean,09-20-1993,-32.53
Tropics,09-20-1993,-16.54
World,09-20-1993,-13.85
Yellow Sea,09-20-1993,9.79
Adriatic Sea,09-21-1993,7.39
Baltic Sea,09-29-1993,-207.75
Andaman Sea,09-30-1993,-15.04
Arabian Sea,09-30-1993,-47.76
Atlantic Ocean,09-30-1993,-2.51
Bay Bengal,09-30-1993,-15.53
Bering Sea,09-30-1993,0.45
Caribbean Sea,09-30-1993,32.32
Gulf Mexico,09-30-1993,78.55
Indian Ocean,09-30-1993,-32.63
Indonesian,09-30-1993,-137.09
Mediterranean,09-30-1993,52.02
Nino,09-30-1993,-7.63
North Atlantic,09-30-1993,37.67
North Pacific,09-30-1993,45.39
North Sea,09-30-1993,-91.19
Pacific Ocean,09-30-1993,-10.88
Persian Gulf,09-30-1993,-6.37
Sea Japan,09-30-1993,61.75
Sea Okhotsk,09-30-1993,5.21
South China,09-30-1993,-20.5
Southern Ocean,09-30-1993,-38.23
Tropics,09-30-1993,-15.04
World,09-30-1993,-13.25
Adriatic Sea,10-01-1993,5.99
Yellow Sea,10-01-1993,81.79
Baltic Sea,10-09-1993,-381.95
North Sea,10-09-1993,-105.49
Andaman Sea,10-10-1993,3.06
Arabian Sea,10-10-1993,-49.36
Atlantic Ocean,10-10-1993,3.29
Bay Bengal,10-10-1993,-26.83
Bering Sea,10-10-1993,11.75
Caribbean Sea,10-10-1993,37.12
Gulf Mexico,10-10-1993,66.15
Indian Ocean,10-10-1993,-26.43
Indonesian,10-10-1993,-112.59
Mediterranean,10-10-1993,105.42
Nino,10-10-1993,4.87
North Atlantic,10-10-1993,41.77
North Pacific,10-10-1993,42.39
Pacific Ocean,10-10-1993,-7.68
Persian Gulf,10-10-1993,34.73
Sea Japan,10-10-1993,69.25
Sea Okhotsk,10-10-1993,-17.09
South China,10-10-1993,41.3
Southern Ocean,10-10-1993,-38.53
Tropics,10-10-1993,-5.94
World,10-10-1993,-7.75
Adriatic Sea,10-11-1993,82.79
Yellow Sea,10-11-1993,112.19
Baltic Sea,10-19-1993,-122.85
North Sea,10-19-1993,95.51
Sea Okhotsk,10-19-1993,-31.99
Andaman Sea,10-20-1993,59.76
Arabian Sea,10-20-1993,-56.56
Atlantic Ocean,10-20-1993,-0.71
Bay Bengal,10-20-1993,-13.93
Bering Sea,10-20-1993,14.65
Caribbean Sea,10-20-1993,38.82
Gulf Mexico,10-20-1993,72.75
Indian Ocean,10-20-1993,-26.43
Indonesian,10-20-1993,-90.39
Mediterranean,10-20-1993,101.02
Nino,10-20-1993,8.47
